,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
10,"[ 0.34823203  0.6878868  -0.06655943  2.5381422   0.17380749  2.0190067
 -2.9810493   0.        ]","[  0.161116  -32.670673    9.097107    5.9625773  -5.001347    3.7740338
  -4.7049794   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.3537705   0.6823089  -0.07282574  2.5490217   0.17044827  1.9955595
 -2.9588437   0.        ]","[ 0.00517034  0.00078753  0.01328537 -0.04403347 -0.01537405  0.11258323
 -0.08669731  0.        ]",0.33333334,10,0,10,0
11,"[ 0.3462847   0.6890841  -0.06556388  2.535817    0.17481488  2.023112
 -2.985679    0.        ]","[  0.48460272 -26.515234     8.4705925    4.810083     0.33392468
   2.78697     -4.720642     0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.35348287  0.6825678  -0.07208559  2.547595    0.1704406   1.9992104
 -2.962163    0.        ]","[-0.00335558  0.00544426  0.0245163  -0.05632586 -0.00982706  0.14795382
 -0.13076502  0.        ]",0.36666667,11,0,11,0
12,"[ 0.3440641   0.6898908  -0.06437195  2.5332391   0.17513902  2.0296264
 -2.9924164   0.        ]","[  0.6802397  -37.89693     -3.2289562   16.270948    -1.3442974
  -1.8798995    0.92096406   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.35195848  0.6842053  -0.07009525  2.5438905   0.17115583  2.0071332
 -2.969549    0.        ]","[-0.03054265  0.03263133  0.04403347 -0.08077367  0.01277176  0.18284503
 -0.16945694  0.        ]",0.4,12,0,12,0
13,"[ 0.34234747  0.6899934  -0.06389078  2.5312016   0.17605391  2.0345483
 -2.9937518   0.        ]","[  0.20794044 -38.491924    -3.4887218   16.950037    -0.9852853
  -2.4369757    0.23553151   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.35118     0.6849876  -0.06933977  2.5426269   0.17164095  2.0098102
 -2.9721894   0.        ]","[-0.03930826  0.04177358  0.04629335 -0.08190361  0.02143464  0.1767502
 -0.16771066  0.        ]",0.43333334,13,0,13,0
14,"[ 0.33857173  0.6925449  -0.06158184  2.5272675   0.17775194  2.0416315
 -3.0036266   0.        ]","[-12.879992  -29.669708    7.7012935   7.3982306   6.7592063   2.9574366
  -4.364097    0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.34770742  0.68744963 -0.06683937  2.53781     0.17345104  2.0198903
 -2.9818785   0.        ]","[-0.0620098   0.04396499  0.0446498  -0.0860125   0.03232317  0.18000306
 -0.17301796  0.        ]",0.46666667,14,0,14,0
15,"[ 0.33712447  0.6925164  -0.06098973  2.5259712   0.17711672  2.047066
 -3.00933     0.        ]","[  0.8550362 -41.627453   -3.9592683  19.559156   -0.8507372  -2.5793176
   1.402535    0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.34643424  0.6881495  -0.06612799  2.5362148   0.17410107  2.0232036
 -2.9847412   0.        ]","[-0.06409848  0.03903433  0.0407806  -0.08426622  0.032015    0.17825678
 -0.16137615  0.        ]",0.5,15,0,15,0
16,"[ 0.33579707  0.6933376  -0.06045223  2.5238044   0.17500156  2.053132
 -3.0182583   0.        ]","[ -0.98957115 -37.341297    -2.0398064   15.334403     7.0880976
  -1.3286538   -0.5937471    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.34359828  0.68953013 -0.06458443  2.533024    0.17553343  2.0301967
 -2.9910996   0.        ]","[-0.06889217  0.033864    0.03773319 -0.07971222  0.03502818  0.1721962
 -0.15069307  0.        ]",0.53333336,16,0,16,0
17,"[ 0.3342807   0.6931638  -0.06033896  2.5224893   0.17382564  2.058347
 -3.023534    0.        ]","[  0.48960277 -36.787613    -3.0459023   16.644753     6.8351
  -2.1013815    0.6141058    0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.34216207  0.6901648  -0.06376758  2.5314076   0.17588049  2.0341487
 -2.9954004   0.        ]","[-0.07204231  0.03297374  0.03978763 -0.08080792  0.02941271  0.18452282
 -0.178428    0.        ]",0.56666666,17,0,17,0
18,"[ 0.33321685  0.692931   -0.05994901  2.521962    0.17335318  2.061111
 -3.0276234   0.        ]","[  1.9059793  -40.152287    -3.280569    18.404913    -2.3768713
  -2.808309     0.74326473   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.3395639   0.6915358  -0.06236399  2.5283148   0.1759591   2.0416
 -3.004054    0.        ]","[-0.06718014  0.03304222  0.03694565 -0.07875348  0.00592363  0.19106278
 -0.21838681  0.        ]",0.6,18,0,18,0
19,"[ 0.33335036  0.6926212  -0.06080067  2.5218582   0.1713092   2.0614147
 -3.0291448   0.        ]","[-10.611173  -31.131163    8.129482    8.509882    1.2878625   2.5509212
  -4.124819    0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.3383693   0.69217813 -0.06178491  2.52689     0.17582296  2.0451531
 -3.0083857   0.        ]","[-0.06272886  0.03266557  0.03242589 -0.07478157 -0.00157507  0.18185206
 -0.20989513  0.        ]",0.6333333,19,0,19,0
