,action,observation.effort,observation.force_torque,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index,next.done
10,"[ 1.2110003e-02  7.6814294e-01  2.4855628e-03  2.5701473e+00
  5.1848501e-01  2.1022534e+00 -2.0615447e+00  0.0000000e+00]","[ -0.3027778  -48.470215     0.26698974  17.28523      7.549545
  -1.2973689   -0.28788182   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 1.3157720e-02  7.7168632e-01  1.5013837e-03  2.5729058e+00
  5.1724684e-01  2.0947180e+00 -2.0631523e+00  0.0000000e+00]","[-0.00434856 -0.02725555  0.00996403 -0.03287102  0.02235914  0.06885793
  0.02787188  0.        ]",0.33333334,10,24,8786,0,False
11,"[ 0.01055084  0.76653415  0.00407345  2.5684824   0.52146894  2.1060476
 -2.060017    0.        ]","[-4.8470702e-03 -5.5450806e+01  1.9027691e-01  8.5781355e+00
  7.5817609e+00 -9.6599227e-01  3.2466145e+00  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 1.2921871e-02  7.7063358e-01  1.8331071e-03  2.5721252e+00
  5.1764375e-01  2.0966182e+00 -2.0626423e+00  0.0000000e+00]","[-0.00585515 -0.02530384  0.00975858 -0.02054439  0.01410714  0.04615639
  0.01496316  0.        ]",0.36666667,11,24,8787,0,False
12,"[ 0.00988991  0.76603156  0.00501242  2.5682256   0.5224356   2.107978
 -2.0613732   0.        ]","[ -0.67193985 -46.828682     0.19164246  16.76113      1.1534562
  -1.7024138    0.12537266   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 1.2666847e-02  7.6959819e-01  2.0862138e-03  2.5713544e+00
  5.1793325e-01  2.0988827e+00 -2.0622127e+00  0.0000000e+00]","[-0.00643724 -0.02691315  0.00650572 -0.01914052  0.00715629  0.05598345
  0.01116245  0.        ]",0.4,12,24,8788,0,False
13,"[ 0.00961731  0.76571083  0.00519359  2.568038    0.52290785  2.1083047
 -2.0611525   0.        ]","[ -0.15354623 -48.180317     0.1834701   16.544127     0.79764074
  -0.8344576    0.38224998   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 1.2471264e-02  7.6907468e-01  2.2741265e-03  2.5708923e+00
  5.1823622e-01  2.1001463e+00 -2.0619271e+00  0.0000000e+00]","[-0.00763566 -0.02598865  0.00746446 -0.02033894  0.01020371  0.05954448
  0.01208695  0.        ]",0.43333334,13,24,8789,0,False
14,"[ 0.00762422  0.762664    0.00655757  2.565701    0.5266407   2.1147356
 -2.0556319   0.        ]","[  2.8624654  -47.801373    -1.7053493   17.199018     0.57138056
  -1.6287242    0.08790284   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.01161223  0.7679549   0.0031159   2.569836    0.5196667   2.1029687
 -2.0614305   0.        ]","[-0.01783937 -0.02581744  0.01749697 -0.02369452  0.02978936  0.06454361
  0.01242935  0.        ]",0.46666667,14,24,8790,0,False
15,"[ 0.00746438  0.76166666  0.00624385  2.5651047   0.5263814   2.1170049
 -2.0539322   0.        ]","[ 3.1372292e+00 -4.8014271e+01 -1.8817338e+00  1.7257948e+01
  5.4676080e-01 -1.7488559e+00  4.5553735e-03  0.0000000e+00]",[0. 0. 0. 0. 0. 0.],"[ 0.01115588  0.76745635  0.00358376  2.5694044   0.52045286  2.1042323
 -2.0613096   0.        ]","[-0.02129768 -0.02530384  0.02136616 -0.02253034  0.03581571  0.06447513
  0.00849168  0.        ]",0.5,15,24,8791,0,False
16,"[ 0.00578708  0.7598711   0.00768659  2.563632    0.52962655  2.1211736
 -2.0510154   0.        ]","[-10.803232   -49.10547     10.704138     8.784035     9.678861
  -0.6734006    0.15516411   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.01055571  0.76690793  0.00423187  2.568858    0.52168196  2.1055498
 -2.0608072   0.        ]","[-0.02523535 -0.02615985  0.02639954 -0.02379725  0.04636183  0.06539962
  0.01277176  0.        ]",0.53333336,16,24,8792,0,False
17,"[ 0.00501038  0.7587835   0.00833131  2.5629191   0.53105366  2.1235569
 -2.0492978   0.        ]","[-10.235935  -59.022808    8.520991    9.470383    8.445304    2.1445835
   2.6967733   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.00950876  0.765466    0.00512541  2.5676517   0.52352655  2.1089263
 -2.0588686   0.        ]","[-0.0276322  -0.033864    0.02564624 -0.02972088  0.05129248  0.07991766
  0.04256112  0.        ]",0.56666666,17,24,8793,0,False
18,"[ 0.00411737  0.7553235   0.00699007  2.5624945   0.5282871   2.1322477
 -2.0478318   0.        ]","[  1.132411   -47.34669     -1.6339388   16.541092     1.3638433
  -0.41099802   0.06356353   0.        ]",[0. 0. 0. 0. 0. 0.],"[ 0.00857687  0.7637345   0.00572367  2.566534    0.52504903  2.1125486
 -2.0566387   0.        ]","[-0.02314667 -0.0417051   0.01527133 -0.02807733  0.03769895  0.08936808
  0.05454534  0.        ]",0.6,18,24,8794,0,False
19,"[ 1.5377110e-03  7.5448990e-01  9.8808873e-03  2.5612338e+00
  5.3411686e-01  2.1346245e+00 -2.0461218e+00  0.0000000e+00]","[-11.089658  -56.10969     8.25712     8.208501    8.809143    1.7553393
   2.5911906   0.       ]",[0. 0. 0. 0. 0. 0.],"[ 0.00703905  0.76149493  0.00686456  2.5649157   0.527676    2.1175723
 -2.0533695   0.        ]","[-0.03365855 -0.04958045  0.0246875  -0.03588419  0.05766124  0.11224083
  0.0724532   0.        ]",0.6333333,19,24,8795,0,False
