,action,observation.effort,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
169,"[-0.55793715 -0.91787285  1.1774355   0.89502525  0.66019547  1.2785028
  0.19073951  0.        ]","[-0.10507043  7.991294   -8.111844   12.805155   -0.32686478 -5.8263946
 -0.16102958  0.        ]","[-0.5479322  -0.92552733  1.1748817   0.9103754   0.65961367  1.3029269
  0.20609991  0.        ]","[-0.05071039  0.03174108  0.01486044 -0.06101682  0.0053073  -0.10309857
 -0.05475079  0.        ]",5.633333,169,124,74569,0
170,"[-0.5585395  -0.91698754  1.1779575   0.8929852   0.66035813  1.2753918
  0.18877366  0.        ]","[ -9.995872    17.890945   -11.7704935    7.4860067   -0.03734546
  -5.786719    -3.0342076    0.        ]","[-0.55156004 -0.9232321   1.1754856   0.905691    0.6597479   1.2956443
  0.20159     0.        ]","[-0.06163316  0.03882889  0.00996403 -0.07947253  0.00195172 -0.12285542
 -0.07632239  0.        ]",5.6666665,170,124,74570,0
171,"[-0.5600315  -0.9156232   1.1789576   0.887742    0.6604236   1.2709703
  0.18551305  0.        ]","[  2.499102     7.1554155  -14.705065    13.764961    -0.47588247
  -2.9475243    0.16519822   0.        ]","[-0.55397415 -0.92148334  1.1759535   0.90227985  0.65982455  1.2901238
  0.19811362  0.        ]","[-0.03961642  0.02903607  0.00784111 -0.05677098  0.00123266 -0.09190188
 -0.05800365  0.        ]",5.7,171,124,74571,0
172,"[-0.5606964  -0.91461647  1.1793754   0.88485694  0.6605316   1.2674524
  0.18317552  0.        ]","[  0.78588367   7.2038474  -15.73296     12.952721    -0.676832
  -1.8921608    0.18879184   0.        ]","[-0.554931   -0.9206339   1.1762047   0.90050614  0.65986294  1.2874106
  0.19636871  0.        ]","[-0.03704838  0.03139867  0.00931345 -0.06536539  0.00143811 -0.10299585
 -0.06601596  0.        ]",5.733333,172,124,74572,0
173,"[-0.5609309  -0.9139487   1.1796759   0.88343793  0.6606813   1.2650539
  0.18181157  0.        ]","[-8.884112   17.432716   -8.321143    8.632841   -0.15197426 -5.1117735
 -2.1580408   0.        ]","[-0.5563058  -0.9194623   1.1766418   0.8979751   0.65993774  1.2836045
  0.19388175  0.        ]","[-0.03903433  0.03362431  0.01164182 -0.07197383  0.00188324 -0.10871404
 -0.07070693  0.        ]",5.766667,173,124,74573,0
174,"[-0.5614504  -0.91311806  1.1801269   0.8812312   0.66092813  1.2618654
  0.17971973  0.        ]","[  1.1962095    6.9791775  -18.444157    13.319877    -0.52343565
  -2.1695027   -0.04766725   0.        ]","[-0.5575771  -0.91804534  1.1773744   0.89509887  0.6601429   1.2787782
  0.19095759  0.        ]","[-0.02270155  0.02530384  0.01307993 -0.05136096  0.00366375 -0.0861837
 -0.05221698  0.        ]",5.8,174,124,74574,0
175,"[-0.56161946 -0.9119764   1.1805264   0.87815195  0.66124606  1.2572645
  0.17700863  0.        ]","[  3.020126     6.8371315  -18.383335    14.973849    -0.58555305
  -3.044823     0.8569915    0.        ]","[-0.55865663 -0.9170003   1.178055    0.89200026  0.66025794  1.275319
  0.18846871  0.        ]","[-0.02376301  0.02417389  0.01506588 -0.06694046  0.00291045 -0.08152697
 -0.0554356   0.        ]",5.8333335,175,124,74575,0
176,"[-0.5618759  -0.9112902   1.1802975   0.8762606   0.6612392   1.2548629
  0.17530996  0.        ]","[  0.14538063   7.7074146  -18.172468    13.252324    -0.2044296
  -2.876946     0.44634277   0.        ]","[-0.55983204 -0.9154797   1.1788834   0.8874443   0.6604267   1.2701226
  0.18509012  0.        ]","[-0.02098951  0.02715283  0.01479196 -0.08135577  0.00301318 -0.09279214
 -0.06033201  0.        ]",5.866667,176,124,74576,0
177,"[-0.56195146 -0.91070974  1.1803334   0.8749498   0.66140145  1.2525396
  0.17390443  0.        ]","[  3.2833445    5.8599977  -13.722359    16.168139    -0.33723113
  -3.0730207    0.6274254    0.        ]","[-0.5605051  -0.9146054   1.1792324   0.88514143  0.660536    1.2673883
  0.18327427  0.        ]","[-0.0171888   0.02314667  0.00955314 -0.06224949  0.00297894 -0.07406251
 -0.04814234  0.        ]",5.9,177,124,74577,0
178,"[-0.56159675 -0.90992117  1.1802255   0.87294203  0.6616768   1.2489663
  0.17181607  0.        ]","[  3.890235     5.572923   -14.0693035   16.338116    -0.45172563
  -3.0257943    0.04796404   0.        ]","[-0.5608426  -0.91415286  1.1794645   0.88395834  0.66063184  1.2657988
  0.18223883  0.        ]","[-0.01434683  0.01848995  0.00828624 -0.04971741  0.00304742 -0.06218101
 -0.03954794  0.        ]",5.9333334,178,124,74578,0
179,"[-0.56219906 -0.90904963  1.1774236   0.87007433  0.6607355   1.2465138
  0.16901515  0.        ]","[  0.13405702   7.4038157  -13.574102    13.806518    -0.33069435
  -2.7842832    0.1494162    0.        ]","[-0.56111866 -0.91325355  1.179959    0.8814043   0.6608849   1.2618929
  0.17977105  0.        ]","[-0.00493065  0.01605886  0.00883409 -0.04560854  0.00451976 -0.06974819
 -0.04406771  0.        ]",5.9666667,179,124,74579,0
180,"[-0.56260055 -0.908921    1.176753    0.86944586  0.6604249   1.2464367
  0.16853245  0.        ]","[  0.13405702   7.5880656  -13.574102    13.749218    -0.33069435
  -3.1622832    0.3314162    0.        ]","[-0.561251   -0.9128202   1.1800761   0.8801924   0.66097504  1.2601728
  0.17864549  0.        ]","[-0.00479369  0.01862691  0.0076699  -0.0534154   0.00469097 -0.07913013
 -0.05081311  0.        ]",6.0,180,124,74580,0
181,"[-0.5625105  -0.90823346  1.1765206   0.86778885  0.66047746  1.2439762
  0.16697067  0.        ]","[  0.27264783   6.136076   -13.552803    15.205032    -0.3297523
  -2.3916457   -0.09125437   0.        ]","[-0.56158656 -0.9119477   1.1801873   0.8779566   0.6611112   1.25708
  0.17677212  0.        ]","[-0.00743022  0.0201335   0.00321862 -0.05382629  0.00332134 -0.07488429
 -0.04625911  0.        ]",6.0333333,181,124,74581,0
182,"[-0.5627767  -0.9072013   1.1750352   0.86230326  0.6600295   1.2401996
  0.1632567   0.        ]","[ -3.5921166    4.9143357  -16.241146    14.477053    -0.60359526
  -2.9795437    0.20823796   0.        ]","[-0.56178594 -0.9111156   1.1802084   0.87599504  0.66123587  1.2541232
  0.17487381  0.        ]","[-0.0040404   0.01599038  0.00041089 -0.03773319  0.00243109 -0.05670251
 -0.03629508  0.        ]",6.0666666,182,124,74582,0
183,"[-0.5621815  -0.90690464  1.1744074   0.86041284  0.65992373  1.2386659
  0.16186361  0.        ]","[ -4.958       17.056194   -27.4338       6.112493    -0.05491645
  -5.2811313   -2.616084     0.        ]","[-0.56183195 -0.9103965   1.1796849   0.8737919   0.66123587  1.2511665
  0.17262077  0.        ]","[-0.00116418  0.01742849 -0.00945042 -0.05098432  0.00037665 -0.07060421
 -0.05190881  0.        ]",6.1,183,124,74583,0
184,"[-0.56137013 -0.9064703   1.1740141   0.8564739   0.6598817   1.236145
  0.15966351  0.        ]","[ -2.3075793    6.7871747  -18.891014    15.076541    -0.48107362
  -2.9716055    0.24206336   0.        ]","[-0.5620237  -0.9097925   1.1786975   0.8718725   0.66112274  1.2490267
  0.17086053  0.        ]","[-0.00373223  0.01619582 -0.02287275 -0.05108704 -0.0020202  -0.0596472
 -0.04649879  0.        ]",6.133333,184,124,74584,0
185,"[-0.5605863  -0.9060183   1.1734678   0.85415834  0.6598547   1.233852
  0.15790182  0.        ]","[ -7.3365927    5.772801   -17.63721     13.712416    -0.8826899
  -2.3564088    0.44737497   0.        ]","[-0.5624552  -0.90863246  1.1769679   0.8680759   0.66069895  1.2450881
  0.16750112  0.        ]","[-0.00677965  0.01907204 -0.02735827 -0.06327671 -0.00684813 -0.0651257
 -0.05516167  0.        ]",6.1666665,185,124,74585,0
186,"[-0.5593088  -0.9059476   1.1730301   0.851256    0.6600057   1.2318046
  0.15622993  0.        ]","[-10.315822    16.399406   -27.551485     5.6742573    0.14602137
  -5.7707725   -3.0840933    0.        ]","[-0.5625318 -0.9082355  1.1764712  0.866471   0.6605436  1.2437459
  0.1664139  0.       ]","[-0.00599211  0.02211946 -0.02968664 -0.08108184 -0.00821775 -0.07553486
 -0.0638588   0.        ]",6.2,186,124,74586,0
187,"[-0.557168   -0.90591234  1.1722208   0.8474377   0.66017836  1.2291641
  0.15431228  0.        ]","[  0.68965393   6.3463216  -18.58151     12.825922    -0.26596403
  -2.8737876    0.7757956    0.        ]","[-0.5624897  -0.90733427  1.175154    0.861729    0.6601908   1.2399992
  0.1629471   0.        ]","[ 0.00181475  0.01229239 -0.01825026 -0.06981667 -0.00465673 -0.05550408
 -0.05074463  0.        ]",6.233333,187,124,74587,0
188,"[-0.55676275 -0.9058366   1.1719303   0.84654045  0.6601531   1.228501
  0.15382329  0.        ]","[ -1.6376218    5.169083   -18.580002    16.625664    -0.42885342
  -3.3534873   -0.21780089   0.        ]","[-0.5618013  -0.9066421   1.1742508   0.8574109   0.66000867  1.2368008
  0.16026072  0.        ]","[ 0.01229239  0.01236087 -0.01612734 -0.07710993 -0.00325286 -0.05711339
 -0.04797114  0.        ]",6.266667,188,124,74588,0
189,"[-0.5546736  -0.9056236   1.1706061   0.8429784   0.66027796  1.22537
  0.15166976  0.        ]","[ -0.9082796   15.002247   -28.614819    15.962434    -0.19648376
  -6.5138235   -3.2174566    0.        ]","[-0.56158656 -0.90646183  1.1740782   0.856456    0.6599684   1.2360222
  0.15967014  0.        ]","[ 0.01222391  0.01191574 -0.01400442 -0.07084389 -0.00315014 -0.05317572
 -0.04293777  0.        ]",6.3,189,124,74589,0
190,"[-0.55355275 -0.90568733  1.1689926   0.840367    0.6599955   1.2240659
  0.15033823  0.        ]","[ -2.7517922    8.204658   -17.920124    15.215995    -0.34839043
  -2.9226098    0.32031292   0.        ]","[-0.5595655  -0.90612435  1.173131    0.8520132   0.6599588   1.2324519
  0.15678434  0.        ]","[ 2.9309990e-02  3.8349519e-03 -1.3079925e-02 -6.1633158e-02
 -4.4726126e-15 -4.8142344e-02 -3.8657684e-02  0.0000000e+00]",6.3333335,190,124,74590,0
191,"[-0.552272   -0.90588486  1.1680754   0.8380065   0.659931    1.2231174
  0.1494527   0.        ]","[ -1.7838993    8.126736   -18.684662    15.2393675   -0.28527477
  -3.2801325   -0.40001032   0.        ]","[-0.5584764  -0.9060323   1.1727072   0.84971225  0.6599588   1.2308835
  0.15562235  0.        ]","[ 3.1124745e-02  2.7734921e-03 -1.2258150e-02 -6.6632293e-02
 -4.4726126e-15 -4.6019424e-02 -3.4446087e-02  0.0000000e+00]",6.366667,191,124,74591,0
192,"[-0.5501112  -0.9058676   1.1670301   0.8350931   0.6601377   1.220758
  0.14802639  0.        ]","[ -1.7168994    8.126736   -18.541412    14.866918    -0.28527477
  -3.4341326   -0.54001033   0.        ]","[-0.5581044  -0.9059901   1.1725461   0.8489874   0.6599588   1.2303619
  0.15523885  0.        ]","[ 2.9241508e-02  2.6707700e-03 -1.1402134e-02 -5.9202071e-02
 -4.4726126e-15 -4.0883329e-02 -3.0234488e-02  0.0000000e+00]",6.4,192,124,74592,0
193,"[-0.5483747  -0.90590173  1.1678379   0.8306187   0.6607464   1.2187675
  0.14698493  0.        ]","[ -1.8892028   8.374047  -18.181967   14.364948   -0.3368245  -2.6080317
   0.4657483   0.       ]","[-0.5557095  -0.9058214   1.1708895   0.8444545   0.6599588   1.2268721
  0.15258698  0.        ]","[ 3.4206402e-02  2.1229198e-03 -2.5029909e-02 -6.4372405e-02
 -4.4726126e-15 -4.8998360e-02 -3.7425023e-02  0.0000000e+00]",6.4333334,193,124,74593,0
194,"[-0.54746413 -0.90580004  1.1683093   0.8282149   0.6610974   1.2174307
  0.14637192  0.        ]","[ -1.4071066    8.123828   -17.05164     15.649817    -0.26691523
  -2.9536536    0.03139602   0.        ]","[-0.5543308  -0.90578306  1.169578    0.84170103  0.6599588   1.2251387
  0.15114504  0.        ]","[ 3.2460131e-02  1.1299412e-03 -2.9549675e-02 -6.4920262e-02
 -4.4726126e-15 -4.2081751e-02 -3.3761274e-02  0.0000000e+00]",6.4666667,194,124,74594,0
195,"[-0.5460774 -0.9057     1.1679016  0.8261788  0.6613232  1.2156967
  0.1455888  0.       ]","[ -1.3233566    8.123828   -17.323814    14.933567    -0.26691523
  -3.0236537   -0.24860397   0.        ]","[-0.5538399  -0.90578306  1.1691964   0.8407902   0.6599588   1.2246344
  0.15072896  0.        ]","[ 2.8659418e-02  4.7936899e-04 -2.5166873e-02 -5.5709526e-02
 -4.4726126e-15 -3.3213422e-02 -2.6913146e-02  0.0000000e+00]",6.5,195,124,74595,0
196,"[-0.54444176 -0.90546906  1.1684562   0.8224305   0.6621007   1.2127535
  0.1445755   0.        ]","[ -0.7452501    8.5825205  -17.27157     15.28198     -0.42560938
  -2.6580043   -0.19236995   0.        ]","[-0.5517384  -0.90578115  1.1680362   0.8372103   0.6600163   1.2223161
  0.14910677  0.        ]","[ 3.5884194e-02  3.4240642e-05 -1.9551408e-02 -6.0948342e-02
  1.0272192e-03 -3.9787628e-02 -2.7632199e-02  0.0000000e+00]",6.5333333,196,124,74596,0
197,"[-0.5439176  -0.90546566  1.1683215   0.82160825  0.662283    1.2119523
  0.14427797  0.        ]","[ -3.4845839    8.315918   -15.270359    15.020333    -0.3995692
  -3.0526726    0.53336215   0.        ]","[-0.5494086  -0.90578115  1.167856    0.832779    0.6604497   1.2199117
  0.14767249  0.        ]","[ 3.8726166e-02 -1.2212453e-15 -2.4995669e-03 -7.3788583e-02
  7.1905348e-03 -3.9684907e-02 -2.3591803e-02  0.0000000e+00]",6.5666666,197,124,74597,0
198,"[-0.54178673 -0.90548974  1.1677368   0.8186722   0.66290295  1.2090776
  0.1433311   0.        ]","[ -2.5459292    8.075849   -13.879733    14.944745    -0.30257007
  -3.3565361    0.46459267   0.        ]","[-0.5488008  -0.90578115  1.167856    0.8313754   0.66061455  1.2191504
  0.14726023  0.        ]","[ 3.2973740e-02 -1.2212453e-15 -2.7392514e-04 -6.8344325e-02
  7.3959790e-03 -3.5712991e-02 -2.0373182e-02  0.0000000e+00]",6.6,198,124,74598,0
199,"[-0.54111564 -0.90528524  1.1674002   0.8163526   0.6631658   1.2071716
  0.14250076  0.        ]","[ -1.5787456    8.212381   -24.192894    14.584036    -0.3210133
  -2.9550917    0.19755451   0.        ]","[-0.547403   -0.90577924  1.167856    0.8285567   0.6609674   1.2172904
  0.14636478  0.        ]","[ 3.3761274e-02  3.4240642e-05 -1.1197392e-14 -7.0741169e-02
  8.4916791e-03 -4.4444352e-02 -2.2016734e-02  0.0000000e+00]",6.633333,199,124,74599,0
200,"[-0.5403125  -0.9050701   1.1671113   0.8139062   0.6634793   1.2050939
  0.14167373  0.        ]","[ 10.694316    7.8425126 -14.49093     7.013502    5.3392773  -5.6112933
  -3.3651307   0.       ]","[-0.5454261 -0.9056354  1.1679672  0.8244744  0.6617094  1.2142646
  0.1451721  0.       ]","[ 0.02975512  0.00239685  0.00198596 -0.06368759  0.01164182 -0.04759449
 -0.01835298  0.        ]",6.6666665,200,124,74600,0
201,"[-0.5400914  -0.9049034   1.1672575   0.81255406  0.66364247  1.2040839
  0.14126816  0.        ]","[ 10.376065    7.8425126 -14.49093     6.827277    5.468202   -5.975293
  -3.5331306   0.       ]","[-0.5450406 -0.9056239  1.167998   0.8237189  0.6618456  1.2136818
  0.1449516  0.       ]","[ 0.02728979  0.00188324  0.00222564 -0.05663402  0.01054612 -0.04307473
 -0.01619582  0.        ]",6.7,201,124,74601,0
202,"[-0.5392432  -0.90474856  1.1671659   0.8110236   0.6639454   1.2024703
  0.14076465  0.        ]","[ -1.702809     8.146925   -12.9347925   14.840027    -0.34229782
  -3.1563766   -0.27476195   0.        ]","[-0.5435066  -0.9055645   1.1680037   0.8210402   0.66236717  1.2113271
  0.14410408  0.        ]","[ 0.02739251  0.00106146  0.00010272 -0.04783418  0.00931345 -0.04204751
 -0.01513436  0.        ]",6.733333,202,124,74602,0
203,"[-0.53759295 -0.9048649   1.1686348   0.80730295  0.66479945  1.2006603
  0.14047049  0.        ]","[ -1.702809     8.146925   -12.9347925   14.840027    -0.34229782
  -3.1563766   -0.27476195   0.        ]","[-0.5435066  -0.9055645   1.1680037   0.8210402   0.66236717  1.2113271
  0.14410408  0.        ]","[ 0.02739251  0.00106146  0.00010272 -0.04783418  0.00931345 -0.04204751
 -0.01513436  0.        ]",6.766667,203,124,74603,0
204,"[-0.53639454 -0.9047137   1.1686898   0.80535835  0.66526914  1.198619
  0.13995649  0.        ]","[ 11.199695    7.81732   -20.040674    7.1546283  -0.2854752  -5.379489
  -3.0575743   0.       ]","[-0.5425575  -0.9054379   1.1679404   0.81910545  0.66268164  1.2095957
  0.1434157   0.        ]","[ 0.02831701  0.00287621 -0.00112994 -0.05529864  0.00927921 -0.05002558
 -0.01931172  0.        ]",6.8,204,124,74604,0
205,"[-0.5346688  -0.9046247   1.170551    0.80210745  0.66640794  1.1962506
  0.13991615  0.        ]","[ 10.433374     7.627799   -27.269985     7.633772    -0.27882305
  -5.890276    -2.7625144    0.        ]","[-0.540711   -0.9051215   1.1676086   0.81438845  0.6633719   1.2055843
  0.14188747  0.        ]","[ 0.02054439  0.00414312 -0.00445128 -0.05478503  0.00818351 -0.04632759
 -0.01715456  0.        ]",6.8333335,205,124,74605,0
206,"[-0.5333306  -0.904582    1.170709    0.8001908   0.6670067   1.1942776
  0.13964741  0.        ]","[ -0.70604765   8.492937   -18.27552     16.100136    -0.38230202
  -3.4488149    0.09929492   0.        ]","[-0.54049236 -0.9050391   1.1675453   0.8137097   0.66346586  1.2050244
  0.14169765  0.        ]","[ 0.01646975  0.00417736 -0.00434856 -0.04649879  0.00677965 -0.03865768
 -0.01369626  0.        ]",6.866667,206,124,74606,0
207,"[-0.5324442  -0.90452415  1.1708044   0.7992513   0.667465    1.1927236
  0.13956164  0.        ]","[ -0.13591315   8.506819   -12.507628    13.348939    -0.38815618
  -2.4188786   -0.1040802    0.        ]","[-0.53957963 -0.9049432   1.1675223   0.8115468   0.66389537  1.2033485
  0.1412317   0.        ]","[ 0.01941444  0.00291045 -0.00123266 -0.04841627  0.00903953 -0.0380756
 -0.01082004  0.        ]",6.9,207,124,74607,0
208,"[-0.531569   -0.9044274   1.1708858   0.79803836  0.6679638   1.1909966
  0.13943116  0.        ]","[ -2.2325754    7.9919086  -12.452098    17.018303    -1.0998608
  -3.3091311   -0.26189402   0.        ]","[-0.537643   -0.9048531   1.16809     0.80764663  0.66468537  1.200641
  0.1405414   0.        ]","[ 0.02985784  0.00154083  0.00931345 -0.05961296  0.01164182 -0.04149966
 -0.01030643  0.        ]",6.9333334,208,124,74608,0
209,"[-0.5313323 -0.9040698  1.1701823  0.7976602  0.668133   1.189137
  0.1390412  0.       ]","[ 9.2449970e+00  8.1123724e+00 -7.2623510e+00  5.3354497e+00
  5.4970946e+00 -5.2984271e+00  2.0956078e-03  0.0000000e+00]","[-0.5364177  -0.904809    1.1688819   0.8055508   0.6653469   1.1987964
  0.14027679  0.        ]","[ 0.02900182  0.00119842  0.01777089 -0.05118976  0.01468924 -0.04365682
 -0.00698509  0.        ]",6.9666667,209,124,74609,0
210,"[-0.5307245  -0.9039561   1.169815    0.7970141   0.66836405  1.187836
  0.13888705  0.        ]","[-8.7653339e-01  8.1069498e+00 -1.7697563e+01  1.5532725e+01
 -8.0937791e-01 -2.7823319e+00  1.6614748e-03  0.0000000e+00]","[-0.53461915 -0.9046786   1.169971    0.80222785  0.6663114   1.1960334
  0.1399144   0.        ]","[ 0.03016601  0.00225988  0.01814754 -0.05608617  0.01585342 -0.04663575
 -0.00612907  0.        ]",7.0,210,124,74610,0
211,"[-0.5301101  -0.9036425   1.1685244   0.7968686   0.6684106   1.1859597
  0.13852507  0.        ]","[-8.5978335e-01  8.1069498e+00 -1.7597288e+01  1.4558625e+01
 -8.3802789e-01 -2.3343320e+00  1.6614748e-03  0.0000000e+00]","[-0.53411674 -0.90466136  1.1701742   0.80148965  0.6665856   1.1951954
  0.1398281   0.        ]","[ 0.02797461  0.00167779  0.01424411 -0.04892988  0.01475772 -0.0457455
 -0.00541002  0.        ]",7.0333333,211,124,74611,0
212,"[-0.5298079  -0.9035301   1.1683288   0.7966152   0.6684777   1.1852953
  0.13843411  0.        ]","[ 9.4408751e+00  8.5287237e+00 -1.5478503e+01  6.8785834e+00
  5.5324092e+00 -3.1941502e+00  2.1151903e-03  0.0000000e+00]","[-0.5326384  -0.90455586  1.1705884   0.7995434   0.667366    1.1927985
  0.139598    0.        ]","[ 0.02246186  0.00164355  0.00612907 -0.03043993  0.0118815  -0.03773319
 -0.00356103  0.        ]",7.0666666,212,124,74612,0
213,"[-0.5298124  -0.9032992   1.1684874   0.7965427   0.6685802   1.184664
  0.13839626  0.        ]","[  9.725625     8.528724   -15.478503     7.0504837    5.575384
  -3.3761504   -0.48872295   0.        ]","[-0.5323508  -0.90449065  1.1705922   0.7991062   0.66752326  1.1921159
  0.13950597  0.        ]","[ 0.02167433  0.00253381  0.00397191 -0.03047417  0.0115391  -0.0404382
 -0.0043828   0.        ]",7.1,213,124,74613,0
214,"[-0.52935624 -0.90302503  1.1684827   0.79596967  0.6687291   1.1834497
  0.13828547  0.        ]","[-2.3264682e+00  7.9939780e+00 -1.3004271e+01  1.5200092e+01
 -3.0763161e-01 -2.4224305e+00  1.0067803e-03  0.0000000e+00]","[-0.53181773 -0.9042913   1.1705865   0.7983143   0.66784346  1.1905589
  0.13928354  0.        ]","[ 0.01599038  0.00493065  0.00010272 -0.02393421  0.00958738 -0.0428008
 -0.00592363  0.        ]",7.133333,214,124,74614,0
215,"[-0.5284446 -0.9024867  1.1685772  0.795235   0.668944   1.1817117
  0.1382564  0.       ]","[ 9.9954872e+00  7.7746868e+00 -1.3608174e+01  6.8184991e+00
 -3.1754312e-01 -2.4369516e+00  1.3058373e-03  0.0000000e+00]","[-0.5314649  -0.90419155  1.1704638   0.79786175  0.6680237   1.1895216
  0.13913015  0.        ]","[ 0.01328537  0.00455401 -0.00229412 -0.01890083  0.00743022 -0.04050668
 -0.00585515  0.        ]",7.1666665,215,124,74615,0
216,"[-0.528069   -0.9021626   1.1685877   0.7948401   0.6690209   1.1807835
  0.13820648  0.        ]","[-1.9760661e+00  7.8819747e+00 -2.7125229e+01  1.5336080e+01
 -2.8762680e-01 -3.5416620e+00  1.0650489e-03  0.0000000e+00]","[-0.5307075  -0.9039116   1.1697927   0.7972002   0.66823655  1.187535
  0.13881567  0.        ]","[ 0.01438107  0.00520458 -0.01249783 -0.01284024  0.00431432 -0.03797287
 -0.00602635  0.        ]",7.2,216,124,74616,0
217,"[-0.5276035  -0.9018103   1.1689056   0.7944955   0.6691859   1.1797687
  0.13832782  0.        ]","[-2.2534944e-01  8.3308401e+00 -1.6406630e+01  1.1748331e+01
 -3.3758166e-01 -2.6926074e+00  1.4918228e-03  0.0000000e+00]","[-0.5301035  -0.9035243   1.168995    0.79674006  0.6684628   1.1855236
  0.1385319   0.        ]","[ 0.00989555  0.00643724 -0.01273752 -0.00756718  0.00376647 -0.0332819
 -0.00455401  0.        ]",7.233333,217,124,74617,0
218,"[-0.52698267 -0.90137553  1.1696285   0.7944948   0.66948575  1.1786543
  0.13871819  0.        ]","[ 4.6616757e-01  7.4492378e+00 -2.6836580e+01  1.1891802e+01
 -2.6750585e-01 -2.6342092e+00  7.3708862e-04  0.0000000e+00]","[-0.52992517 -0.90338045  1.1688914   0.796508    0.66854143  1.1848928
  0.13846861  0.        ]","[ 0.00866288  0.006403   -0.00828624 -0.0087656   0.00359527 -0.03057689
 -0.00356103  0.        ]",7.266667,218,124,74618,0
219,"[-0.5264499  -0.9010062   1.1695945   0.7941007   0.66951805  1.1776851
  0.13878775  0.        ]","[-6.59319878e-01  7.66693449e+00 -2.61637077e+01  1.46657295e+01
 -3.07826459e-01 -2.33715177e+00  1.09502964e-03  0.00000000e+00]","[-0.52944195 -0.9030449   1.1687477   0.7960114   0.66867757  1.18361
  0.13839574  0.        ]","[ 0.01123093  0.00808079 -0.00386919 -0.01229239  0.00356103 -0.03204924
 -0.00212292  0.        ]",7.3,219,124,74619,0
220,"[-0.52640855 -0.90046054  1.1703956   0.79415286  0.669756    1.1766919
  0.13903199  0.        ]","[-1.4759657e+00  8.0719852e+00 -2.5745546e+01  1.4550510e+01
 -2.9862258e-01 -3.5581031e+00  1.0612569e-03  0.0000000e+00]","[-0.5285388  -0.9024965   1.1686939   0.7952828   0.6689038   1.1817634
  0.13830946  0.        ]","[ 0.01414139  0.00862864 -0.00051361 -0.01143637  0.00349255 -0.0285567
 -0.0012669   0.        ]",7.3333335,220,124,74620,0
221,"[-0.5257163  -0.90015596  1.1705166   0.7940328   0.66987216  1.1758721
  0.13932331  1.        ]","[-1.0371611e+00  7.7100220e+00 -2.3728369e+01  1.2074408e+01
 -2.0918210e-01 -3.4948692e+00  6.8007817e-04  0.0000000e+00]","[-0.5281323  -0.90218973  1.1686939   0.7949606   0.66903615  1.1808412
  0.13830371  1.        ]","[ 1.1813021e-02  8.4916791e-03 -1.1197392e-14 -9.7585833e-03
  3.6637487e-03 -2.6125610e-02 -4.1088770e-04  0.0000000e+00]",7.366667,221,124,74621,0
222,"[-0.52551633 -0.8996365   1.170846    0.7937973   0.6698889   1.1748514
  0.13957359  1.        ]","[-1.4217368e+00  7.9406433e+00 -1.2795029e+01  1.1708608e+01
 -2.6707685e-01 -2.9912868e+00  9.3000173e-04  0.0000000e+00]","[-0.5275571  -0.90176976  1.1688435   0.79471135  0.6692528   1.1796868
  0.1383459   1.        ]","[ 0.01266904  0.00938194  0.00267077 -0.00606059  0.00465673 -0.02619409
  0.00075329  0.        ]",7.4,222,124,74622,0
223,"[-0.5255488  -0.89945275  1.1709808   0.79376316  0.66989595  1.1745353
  0.1396301   1.        ]","[-1.4217368e+00  7.9406433e+00 -1.2795029e+01  1.1708608e+01
 -2.6707685e-01 -2.9912868e+00  9.3000173e-04  0.0000000e+00]","[-0.5275571  -0.90176976  1.1688435   0.79471135  0.6692528   1.1796868
  0.1383459   1.        ]","[ 0.01266904  0.00938194  0.00267077 -0.00606059  0.00465673 -0.02619409
  0.00075329  0.        ]",7.4333334,223,124,74623,0
224,"[-0.52503353 -0.89931434  1.1707782   0.79351354  0.6698393   1.174056
  0.13983603  1.        ]","[-1.4042752e+00  7.7479992e+00 -1.2777020e+01  1.1951823e+01
 -2.8363457e-01 -2.8804297e+00  1.1632505e-03  0.0000000e+00]","[-0.5268802  -0.901277    1.1692116   0.79433745  0.66940427  1.1782967
  0.13861817  1.        ]","[ 0.01208695  0.00879985  0.0065742  -0.00667693  0.00270501 -0.02482447
  0.00486217  0.        ]",7.4666667,224,124,74624,0
225,"[-0.52465737 -0.898692    1.17101     0.79313254  0.66976345  1.1729041
  0.14020626  1.        ]","[-1.8634626e+00  7.5781636e+00 -8.3628426e+00  1.1846792e+01
 -3.4858325e-01 -5.8369498e+00  1.2474802e-03  0.0000000e+00]","[-0.52668464 -0.90103537  1.1695588   0.79426455  0.66950786  1.1777693
  0.13874665  1.        ]","[ 0.01058036  0.00948466  0.01092277 -0.00510186  0.00338982 -0.02396845
  0.0051361   0.        ]",7.5,225,124,74625,0
226,"[-0.52465236 -0.89829797  1.1706779   0.7924637   0.6695102   1.172216
  0.14010707  1.        ]","[-7.43699133e-01  1.58030205e+01 -8.09802532e+00  1.17163105e+01
 -3.70370120e-01 -6.40619946e+00  1.43272919e-03  0.00000000e+00]","[-0.5262647  -0.9005349   1.1700611   0.7941112   0.6696689   1.176734
  0.13903618  1.        ]","[ 0.0084232   0.01020371  0.01102549 -0.00308166  0.00342406 -0.02109224
  0.00588939  0.        ]",7.5333333,226,124,74626,0
