,action,observation.effort,observation.state,observation.qvel,timestamp,frame_index,episode_index,index,task_index
11,"[-0.7724159  -0.42915595  0.45784965  1.4785589   0.15273342  1.6204743
 -0.42625374  0.        ]","[ 2.3366070e-01 -8.6973562e+00 -3.2767441e+00  2.1787468e+01
 -1.9314750e-01 -3.1381073e+00  1.1600269e-03  0.0000000e+00]","[-0.77424806 -0.42419747  0.4563497   1.476236    0.15102808  1.6158551
 -0.42850602  0.        ]","[ 0.00883409 -0.03081658  0.00534154  0.01869539  0.00671117  0.01982533
  0.00931345  0.        ]",0.36666667,11,124,74411,0
12,"[-0.7715123  -0.4306862   0.4592021   1.4777867   0.1534079   1.6217659
 -0.42499548  0.        ]","[-3.403063   -8.002963   -3.1016972  20.496748   -0.17117703 -3.2099156
  0.5097353   0.        ]","[-0.77370924 -0.42568544  0.45670444  1.4770414   0.15140773  1.6168771
 -0.42808035  0.        ]","[ 0.01112821 -0.03122747  0.00743022  0.01705184  0.00790959  0.02160585
  0.00927921  0.        ]",0.4,12,124,74412,0
13,"[-0.77079976 -0.43188295  0.4602648   1.4765506   0.15394397  1.6228768
 -0.42396146  0.        ]","[-0.02784055 -9.381432   -3.5248163  21.332016   -0.22031625 -2.787283
  0.3880897   0.        ]","[-0.77328545 -0.4268915   0.45710135  1.4776013   0.15183917  1.6179816
 -0.4274955   0.        ]","[ 0.00962162 -0.02674194  0.00845744  0.01277176  0.00903953  0.02280427
  0.01198423  0.        ]",0.43333334,13,124,74413,0
14,"[-0.7696897  -0.43352264  0.46199912  1.4748248   0.1546264   1.6239771
 -0.42258945  0.        ]","[-2.8581097  -8.921828   -3.066658   21.004461   -0.89415574 -2.9832802
  0.13809633  0.        ]","[-0.77299976 -0.42760098  0.45737746  1.4778888   0.15210953  1.6186451
 -0.42711395  0.        ]","[ 0.01016947 -0.02732403  0.00958738  0.01116245  0.01006675  0.02564624
  0.01414139  0.        ]",0.46666667,14,124,74414,0
15,"[-0.76840526 -0.43567726  0.4639364   1.47306     0.15545237  1.6252757
 -0.42091402  0.        ]","[-0.25566217 -8.404039   -3.729928   27.507456   -0.24506849 -0.21053629
 -0.11733006  0.        ]","[-0.7727198  -0.42837372  0.45761523  1.4782282   0.15239523  1.6194983
 -0.4266806   0.        ]","[ 0.00777263 -0.02037318  0.00671117  0.00890257  0.00736174  0.02133192
  0.01102549  0.        ]",0.5,15,124,74415,0
16,"[-0.76820284 -0.43617874  0.46429777  1.4728343   0.15569027  1.6256813
 -0.42040813  0.        ]","[ 0.59267336 -8.655087   -2.9455125  27.322933   -0.14994887 -3.1521208
 -0.22164342  0.        ]","[-0.772599   -0.42873806  0.45777437  1.4782609   0.15255247  1.6199336
 -0.4264179   0.        ]","[ 0.00575243 -0.0170176   0.00602635  0.0053073   0.00664268  0.02027046
  0.01095701  0.        ]",0.53333336,16,124,74416,0
17,"[-0.76730657 -0.43800354  0.46580726  1.4711215   0.15647887  1.62655
 -0.41866595  0.        ]","[ 1.3139293  -8.681847   -6.1438527  14.869909   -0.03262892 -3.4637687
 -0.3866532   0.        ]","[-0.7721369  -0.4296431   0.45843974  1.478211    0.15295705  1.6208444
 -0.4257065   0.        ]","[ 0.00986131 -0.02051014  0.01420987 -0.00075329  0.00924497  0.02170857
  0.01623007  0.        ]",0.56666666,17,124,74417,0
18,"[-0.76573676 -0.44047937  0.46825233  1.4689674   0.15747035  1.6274744
 -0.4166114   0.        ]","[-1.7173864  -9.335889   -6.001743   14.247353   -1.0983335  -0.5171697
 -0.30721885  0.        ]","[-0.7718071  -0.43021834  0.4589306   1.4780173   0.15322359  1.6213889
 -0.42524058  0.        ]","[ 0.01335385 -0.02455054  0.01982533 -0.00434856  0.01133365  0.0245163
  0.01996229  0.        ]",0.6,18,124,74418,0
19,"[-0.76310873 -0.44557258  0.47185445  1.4672579   0.15927355  1.6297361
 -0.41296527  0.        ]","[-1.9852353  -9.357497   -6.2480016  18.241024   -1.4374967  -2.8604317
 -0.01850751  0.        ]","[-0.7707467  -0.43193638  0.4605106   1.4765524   0.15395798  1.6227714
 -0.4238504   0.        ]","[ 0.01893508 -0.03067962  0.02821429 -0.02615985  0.01311417  0.0246875
  0.02482447  0.        ]",0.6333333,19,124,74419,0
20,"[-0.76142496 -0.4488879   0.47442663  1.4659991   0.16057645  1.6310381
 -0.41030014  0.        ]","[  9.39868    -19.218494     3.1609652   18.308863     2.019825
   0.42158648   0.25711688   0.        ]","[-0.7692396  -0.43447322  0.46277708  1.4743071   0.15499341  1.6244415
 -0.42180827  0.        ]","[ 0.02318092 -0.03882889  0.03537058 -0.03478849  0.0159219   0.02602289
  0.03211772  0.        ]",0.6666667,20,124,74420,0
