Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_hand_index_rota_link1,0.000632930512953291,0.000133008106555473,0.0355868719939086,0,0,0,0.0133643913290117,3.17675901479198E-06,-2.38132488762919E-09,-6.48656869161139E-08,3.30592425974073E-06,4.02252605652141E-08,6.0117793746297E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link1.STL,,MH2.25-V3.0-20-1,lif2,c2,left_hand_index_joint1,revolute,0,0,0.0178,0,0,0,left_hand_index_bend_link,0,1,0,1.1,8.63,0,1.919,,,0,0,,,,
left_hand_index_rotaback_link1,-0.011594801976911,-0.000148033356023192,-0.0241234221633289,0,0,0,1.86553389563399E-08,5.38445403046084E-12,-7.13786568154858E-15,1.72371095789989E-13,5.02993671470136E-12,-6.91796134938722E-14,5.90796350878385E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rotaback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rotaback_link1.STL,,MH2.25-V3.0-21-1,lif3,c3,left_hand_index_rotaback_joint1,fixed,0,0,0.0558,0,0,0,left_hand_index_rota_link1,0,0,0,,,,,,,0,0,,,,
left_hand_index_rota_link2,0.00119905164876562,-0.000248362062241336,0.0213789865633107,0,0,0,0.00686452104959441,1.04676045485352E-06,4.14855221619859E-09,3.45471456260667E-08,1.0036616480006E-06,2.81533918729036E-08,2.85700283228915E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_link2.STL,,MH2.25-V3.0-11-1,lif3,c3,left_hand_index_joint2,revolute,0,0,0.0558,0,0,0,left_hand_index_rota_link1,0,1,0,0.4,14.38,0,1.919,,,0,0,,,,
left_hand_index_rotaback_link2,-0.00758843721876781,0.00015795043860968,-0.0176655210856498,0,0,0,1.14812654431915E-08,1.25439855776578E-12,7.31454960801054E-15,9.24914678769084E-14,9.89430795188377E-13,-2.81814031120961E-14,3.86109183033399E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rotaback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rotaback_link2.STL,,MH2.25-V3.0-12-1,lif4,c4,left_hand_index_rotaback_joint2,fixed,0,0,0.0422482924089404,0,0,0,left_hand_index_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_index_rota_tip,2.28983498828939E-16,2.77555756156289E-17,8.32667268468867E-17,0,0,0,5.65450977765344E-06,1.49608904533747E-11,-1.79655332020571E-26,7.26968312935857E-29,6.36132349986012E-12,-2.40674222263423E-27,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_index_rota_tip.STL,,MH2.25-V3.0-13-1,lif4,c4,left_hand_index_rota_joint3,fixed,0,0,0.0422482924089404,0,0,0,left_hand_index_rota_link2,0,0,0,,,,,,,0,0,,,,
left_hand_mid_link1,0.000530417592105622,3.58049083594107E-05,0.0332784671157222,0,0,0,0.0143714276805089,4.26829701084995E-06,-1.14489065194177E-09,-2.45678905173166E-08,4.37293541565049E-06,8.28615019171023E-08,6.71137965532428E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_link1.STL,,MH2.25-V3.0-09-2,lmf1,d1,left_hand_mid_joint1,revolute,0.0065,-0.004,0.1082,0,0,0,left_hand_link,0,1,0,1.1,8.63,0,1.919,,,0,0,,,,
left_hand_midback_link1,-0.0115948038827716,-0.000148034993379821,-0.0241234078010511,0,0,0,1.86553689010015E-08,5.38445580688055E-12,-7.13780889567025E-15,1.72370748091541E-13,5.02993882451504E-12,-6.91800164030473E-14,5.9079617057024E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_midback_link1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_midback_link1.STL,,MH2.25-V3.0-10-2,lmf2,d2,left_hand_midback_joint1,fixed,0,0,0.0557999999999999,0,0,0,left_hand_mid_link1,0,0,0,,,,,,,0,0,,,,
left_hand_mid_link2,0.00119905190206727,-0.000248361662017015,0.0213789854478658,0,0,0,0.00686452036118546,1.04676034174022E-06,4.14854476395663E-09,3.45471669068545E-08,1.00366154230438E-06,2.81534228771596E-08,2.85700266317778E-07,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_link2.STL,,MH2.25-V3.0-11-2,lmf2,d2,left_hand_mid_joint2,revolute,0,0,0.0558,0,0,0,left_hand_mid_link1,0,1,0,0.4,14.38,0,1.919,,,0,0,,,,
left_hand_midback_link2,-0.00758843721877429,0.000157950438614112,-0.0176655210856846,0,0,0,1.14812654431751E-08,1.25439855775841E-12,7.31454960788513E-15,9.24914678758235E-14,9.89430795180769E-13,-2.81814031113568E-14,3.86109183033388E-13,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_midback_link2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_midback_link2.STL,,MH2.25-V3.0-12-2,lmf3,d3,left_hand_midback_joint2,fixed,0,0,0.0422482924089405,0,0,0,left_hand_mid_link2,0,0,0,,,,,,,0,0,,,,
left_hand_mid_tip,-2.95770352654046E-16,-9.47159017883337E-16,-8.32667268468867E-17,0,0,0,5.65450977765345E-06,1.49608904533747E-11,5.40378738247397E-26,-4.17333661129831E-28,6.36132349986012E-12,-8.6244273003123E-28,1.49608904533747E-11,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_tip.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://xhand_left/meshes/left_hand_mid_tip.STL,,MH2.25-V3.0-13-2,lmf3,d3,left_hand_mid_joint3,fixed,0,0,0.0422482924089405,0,0,0,left_hand_mid_link2,0,0,0,,,,,,,0,0,,,,
